Date,Product,Sales_Qty,Stock_Qty
2025-11-01,Rice,45,500
2025-11-01,Wheat,30,400
2025-11-01,Sugar,25,300
2025-11-01,Tea,60,250
2025-11-01,Oil,20,150
2025-11-01,Biscuits,80,350
2025-11-01,Soap,35,200
2025-11-01,Shampoo,22,180
2025-11-02,Rice,50,455
2025-11-02,Wheat,35,370
2025-11-02,Sugar,28,275
2025-11-02,Tea,65,190
2025-11-02,Oil,22,130
2025-11-02,Biscuits,85,270
2025-11-02,Soap,40,165
2025-11-02,Shampoo,25,158
2025-11-03,Rice,48,405
2025-11-03,Wheat,32,335
2025-11-03,Sugar,30,247
2025-11-03,Tea,70,125
2025-11-03,Oil,25,108
2025-11-03,Biscuits,90,185
2025-11-03,Soap,38,127
2025-11-03,Shampoo,20,133
2025-11-04,Rice,55,357
2025-11-04,Wheat,40,303
2025-11-04,Sugar,32,217
2025-11-04,Tea,75,55
2025-11-04,Oil,28,83
2025-11-04,Biscuits,95,95
2025-11-04,Soap,42,89
2025-11-04,Shampoo,18,113
2025-11-05,Rice,52,302
2025-11-05,Wheat,38,263
2025-11-05,Sugar,35,185
2025-11-05,Tea,68,250
2025-11-05,Oil,24,55
2025-11-05,Biscuits,88,150
2025-11-05,Soap,45,47
2025-11-05,Shampoo,23,95
2025-11-06,Rice,60,250
2025-11-06,Wheat,42,225
2025-11-06,Sugar,38,150
2025-11-06,Tea,72,182
2025-11-06,Oil,30,31
2025-11-06,Biscuits,92,62
2025-11-06,Soap,48,200
2025-11-06,Shampoo,26,72
2025-11-07,Rice,58,190
2025-11-07,Wheat,45,183
2025-11-07,Sugar,40,112
2025-11-07,Tea,78,110
2025-11-07,Oil,32,150
2025-11-07,Biscuits,100,350
2025-11-07,Soap,50,152
2025-11-07,Shampoo,28,46
2025-11-08,Rice,62,132
2025-11-08,Wheat,48,138
2025-11-08,Sugar,42,72
2025-11-08,Tea,80,32
2025-11-08,Oil,35,118
2025-11-08,Biscuits,105,250
2025-11-08,Soap,52,102
2025-11-08,Shampoo,30,180
2025-11-09,Rice,65,70
2025-11-09,Wheat,50,90
2025-11-09,Sugar,45,30
2025-11-09,Tea,85,250
2025-11-09,Oil,38,83
2025-11-09,Biscuits,110,145
2025-11-09,Soap,55,50
2025-11-09,Shampoo,32,150
2025-11-10,Rice,70,500
2025-11-10,Wheat,55,400
2025-11-10,Sugar,48,300
2025-11-10,Tea,90,165
2025-11-10,Oil,40,45
2025-11-10,Biscuits,115,35
2025-11-10,Soap,58,200
2025-11-10,Shampoo,35,118
2025-11-11,Rice,68,430
2025-11-11,Wheat,52,345
2025-11-11,Sugar,50,252
2025-11-11,Tea,88,75
2025-11-11,Oil,38,150
2025-11-11,Biscuits,108,350
2025-11-11,Soap,60,142
2025-11-11,Shampoo,33,85
2025-11-12,Rice,72,362
2025-11-12,Wheat,58,293
2025-11-12,Sugar,52,202
2025-11-12,Tea,92,250
2025-11-12,Oil,42,112
2025-11-12,Biscuits,120,242
2025-11-12,Soap,62,82
2025-11-12,Shampoo,36,52
2025-11-13,Rice,65,290
2025-11-13,Wheat,50,235
2025-11-13,Sugar,45,160
2025-11-13,Tea,85,158
2025-11-13,Oil,35,70
2025-11-13,Biscuits,100,122
2025-11-13,Soap,55,180
2025-11-13,Shampoo,30,180
2025-11-14,Rice,60,225
2025-11-14,Wheat,45,185
2025-11-14,Sugar,40,115
2025-11-14,Tea,80,73
2025-11-14,Oil,30,150
2025-11-14,Biscuits,95,22
2025-11-14,Soap,50,125
2025-11-14,Shampoo,28,150
2025-11-15,Rice,55,165
2025-11-15,Wheat,40,140
2025-11-15,Sugar,35,75
2025-11-15,Tea,75,250
2025-11-15,Oil,28,120
2025-11-15,Biscuits,90,350
2025-11-15,Soap,48,77
2025-11-15,Shampoo,25,122
2025-11-16,Rice,58,110
2025-11-16,Wheat,42,100
2025-11-16,Sugar,38,40
2025-11-16,Tea,78,175
2025-11-16,Oil,32,92
2025-11-16,Biscuits,92,260
2025-11-16,Soap,52,29
2025-11-16,Shampoo,26,97
2025-11-17,Rice,62,52
2025-11-17,Wheat,48,58
2025-11-17,Sugar,42,300
2025-11-17,Tea,82,97
2025-11-17,Oil,35,60
2025-11-17,Biscuits,98,168
2025-11-17,Soap,55,200
2025-11-17,Shampoo,30,71
2025-11-18,Rice,65,500
2025-11-18,Wheat,50,400
2025-11-18,Sugar,45,258
2025-11-18,Tea,85,15
2025-11-18,Oil,38,28
2025-11-18,Biscuits,105,70
2025-11-18,Soap,58,145
2025-11-18,Shampoo,32,41
2025-11-19,Rice,70,435
2025-11-19,Wheat,55,350
2025-11-19,Sugar,48,213
2025-11-19,Tea,90,250
2025-11-19,Oil,40,150
2025-11-19,Biscuits,110,350
2025-11-19,Soap,60,87
2025-11-19,Shampoo,35,180
2025-11-20,Rice,68,365
2025-11-20,Wheat,52,295
2025-11-20,Sugar,50,165
2025-11-20,Tea,88,162
2025-11-20,Oil,38,112
2025-11-20,Biscuits,108,240
2025-11-20,Soap,62,27
2025-11-20,Shampoo,33,145
2025-11-21,Rice,72,297
2025-11-21,Wheat,58,243
2025-11-21,Sugar,52,117
2025-11-21,Tea,92,74
2025-11-21,Oil,42,74
2025-11-21,Biscuits,115,132
2025-11-21,Soap,65,200
2025-11-21,Shampoo,36,112
2025-11-22,Rice,75,225
2025-11-22,Wheat,60,185
2025-11-22,Sugar,55,65
2025-11-22,Tea,95,250
2025-11-22,Oil,45,32
2025-11-22,Biscuits,120,17
2025-11-22,Soap,68,135
2025-11-22,Shampoo,38,76
2025-11-23,Rice,80,150
2025-11-23,Wheat,65,125
2025-11-23,Sugar,58,10
2025-11-23,Tea,100,155
2025-11-23,Oil,48,150
2025-11-23,Biscuits,125,350
2025-11-23,Soap,70,67
2025-11-23,Shampoo,40,38
2025-11-24,Rice,78,72
2025-11-24,Wheat,62,65
2025-11-24,Sugar,60,300
2025-11-24,Tea,98,57
2025-11-24,Oil,46,106
2025-11-24,Biscuits,122,225
2025-11-24,Soap,72,180
2025-11-24,Shampoo,42,180
2025-11-25,Rice,82,500
2025-11-25,Wheat,68,400
2025-11-25,Sugar,62,240
2025-11-25,Tea,105,250
2025-11-25,Oil,50,58
2025-11-25,Biscuits,130,103
2025-11-25,Soap,75,108
2025-11-25,Shampoo,45,138
2025-11-26,Rice,85,418
2025-11-26,Wheat,70,332
2025-11-26,Sugar,65,178
2025-11-26,Tea,110,145
2025-11-26,Oil,52,10
2025-11-26,Biscuits,135,350
2025-11-26,Soap,78,33
2025-11-26,Shampoo,48,93
2025-11-27,Rice,88,333
2025-11-27,Wheat,72,262
2025-11-27,Sugar,68,113
2025-11-27,Tea,112,35
2025-11-27,Oil,55,150
2025-11-27,Biscuits,140,215
2025-11-27,Soap,80,200
2025-11-27,Shampoo,50,45
2025-11-28,Rice,90,245
2025-11-28,Wheat,75,190
2025-11-28,Sugar,70,45
2025-11-28,Tea,115,250
2025-11-28,Oil,58,95
2025-11-28,Biscuits,145,75
2025-11-28,Soap,82,120
2025-11-28,Shampoo,52,180
2025-11-29,Rice,92,155
2025-11-29,Wheat,78,115
2025-11-29,Sugar,72,300
2025-11-29,Tea,118,135
2025-11-29,Oil,60,37
2025-11-29,Biscuits,148,350
2025-11-29,Soap,85,38
2025-11-29,Shampoo,55,128
2025-11-30,Rice,95,63
2025-11-30,Wheat,80,37
2025-11-30,Sugar,75,228
2025-11-30,Tea,120,17
2025-11-30,Oil,62,150
2025-11-30,Biscuits,150,202
2025-11-30,Soap,88,200
2025-11-30,Shampoo,58,73
2025-12-01,Rice,45,500
2025-12-01,Wheat,35,400
2025-12-01,Sugar,30,300
2025-12-01,Tea,65,250
2025-12-01,Oil,25,125
2025-12-01,Biscuits,85,52
2025-12-01,Soap,40,112
2025-12-01,Shampoo,28,180
2025-12-02,Rice,48,455
2025-12-02,Wheat,38,362
2025-12-02,Sugar,32,268
2025-12-02,Tea,68,182
2025-12-02,Oil,28,100
2025-12-02,Biscuits,88,350
2025-12-02,Soap,42,72
2025-12-02,Shampoo,30,152
2025-12-03,Rice,50,407
2025-12-03,Wheat,40,324
2025-12-03,Sugar,35,236
2025-12-03,Tea,70,114
2025-12-03,Oil,30,72
2025-12-03,Biscuits,90,262
2025-12-03,Soap,45,30
2025-12-03,Shampoo,32,122
2025-12-04,Rice,52,357
2025-12-04,Wheat,42,284
2025-12-04,Sugar,38,201
2025-12-04,Tea,72,44
2025-12-04,Oil,32,42
2025-12-04,Biscuits,92,172
2025-12-04,Soap,48,200
2025-12-04,Shampoo,35,90
2025-12-05,Rice,55,305
2025-12-05,Wheat,45,242
2025-12-05,Sugar,40,163
2025-12-05,Tea,75,250
2025-12-05,Oil,35,150
2025-12-05,Biscuits,95,80
2025-12-05,Soap,50,152
2025-12-05,Shampoo,38,55
2025-12-06,Rice,58,250
2025-12-06,Wheat,48,197
2025-12-06,Sugar,42,123
2025-12-06,Tea,78,175
2025-12-06,Oil,38,115
2025-12-06,Biscuits,98,350
2025-12-06,Soap,52,102
2025-12-06,Shampoo,40,180
2025-12-07,Rice,60,192
2025-12-07,Wheat,50,149
2025-12-07,Sugar,45,81
2025-12-07,Tea,80,97
2025-12-07,Oil,40,77
2025-12-07,Biscuits,100,252
2025-12-07,Soap,55,50
2025-12-07,Shampoo,42,140
2025-12-08,Rice,62,132
2025-12-08,Wheat,52,99
2025-12-08,Sugar,48,36
2025-12-08,Tea,82,17
2025-12-08,Oil,42,37
2025-12-08,Biscuits,105,152
2025-12-08,Soap,58,200
2025-12-08,Shampoo,45,98
2025-12-09,Rice,65,70
2025-12-09,Wheat,55,47
2025-12-09,Sugar,50,300
2025-12-09,Tea,85,250
2025-12-09,Oil,45,150
2025-12-09,Biscuits,108,47
2025-12-09,Soap,60,142
2025-12-09,Shampoo,48,53
2025-12-10,Rice,68,500
2025-12-10,Wheat,58,400
2025-12-10,Sugar,52,250
2025-12-10,Tea,88,165
2025-12-10,Oil,48,105
2025-12-10,Biscuits,110,350
2025-12-10,Soap,62,82
2025-12-10,Shampoo,50,180
2025-12-11,Rice,70,432
2025-12-11,Wheat,60,342
2025-12-11,Sugar,55,198
2025-12-11,Tea,90,77
2025-12-11,Oil,50,57
2025-12-11,Biscuits,112,240
2025-12-11,Soap,65,20
2025-12-11,Shampoo,52,130
2025-12-12,Rice,72,362
2025-12-12,Wheat,62,282
2025-12-12,Sugar,58,143
