Date,Product,Sales_Qty,Stock_Qty
2021-02-17,Rice,50,104
2021-02-17,Wheat,47,94
2021-02-17,Sugar,45,128
2021-02-17,Tea,13,34
2021-02-17,Oil,21,26
2021-02-17,Biscuits,64,159
2021-02-17,Soap,29,85
2021-02-17,Shampoo,26,70
2021-02-18,Rice,46,64
2021-02-18,Wheat,51,110
2021-02-18,Sugar,33,87
2021-02-18,Tea,13,23
2021-02-18,Oil,17,38
2021-02-18,Biscuits,61,129
2021-02-18,Soap,34,93
2021-02-18,Shampoo,25,48
2021-02-19,Rice,55,83
2021-02-19,Wheat,48,115
2021-02-19,Sugar,32,46
2021-02-19,Tea,15,27
2021-02-19,Oil,19,30
2021-02-19,Biscuits,54,65
2021-02-19,Soap,25,62
2021-02-19,Shampoo,20,54
2021-02-20,Rice,60,83
2021-02-20,Wheat,56,72
2021-02-20,Sugar,53,67
2021-02-20,Tea,18,42
2021-02-20,Oil,21,48
2021-02-20,Biscuits,77,106
2021-02-20,Soap,35,60
2021-02-20,Shampoo,31,90
2021-02-21,Rice,55,93
2021-02-21,Wheat,62,112
2021-02-21,Sugar,44,78
2021-02-21,Tea,15,29
2021-02-21,Oil,20,28
2021-02-21,Biscuits,63,122
2021-02-21,Soap,31,50
2021-02-21,Shampoo,28,78
2021-02-22,Rice,50,64
2021-02-22,Wheat,46,79
2021-02-22,Sugar,39,60
2021-02-22,Tea,12,19
2021-02-22,Oil,20,55
2021-02-22,Biscuits,70,131
2021-02-22,Soap,31,81
2021-02-22,Shampoo,28,49
2021-02-23,Rice,55,101
2021-02-23,Wheat,44,119
2021-02-23,Sugar,40,81
2021-02-23,Tea,15,23
2021-02-23,Oil,22,36
2021-02-23,Biscuits,59,161
2021-02-23,Soap,28,66
2021-02-23,Shampoo,26,46
2021-02-24,Rice,47,109
2021-02-24,Wheat,53,79
2021-02-24,Sugar,42,60
2021-02-24,Tea,16,47
2021-02-24,Oil,21,47
2021-02-24,Biscuits,58,70
2021-02-24,Soap,31,81
2021-02-24,Shampoo,25,64
2021-02-25,Rice,44,64
2021-02-25,Wheat,41,115
2021-02-25,Sugar,38,98
2021-02-25,Tea,13,27
2021-02-25,Oil,23,48
2021-02-25,Biscuits,48,81
2021-02-25,Soap,26,72
2021-02-25,Shampoo,25,45
2021-02-26,Rice,55,122
2021-02-26,Wheat,43,128
2021-02-26,Sugar,39,105
2021-02-26,Tea,13,28
2021-02-26,Oil,23,34
2021-02-26,Biscuits,52,130
2021-02-26,Soap,31,51
2021-02-26,Shampoo,25,31
2021-02-27,Rice,57,156
2021-02-27,Wheat,56,161
2021-02-27,Sugar,51,91
2021-02-27,Tea,19,43
2021-02-27,Oil,27,58
2021-02-27,Biscuits,77,219
2021-02-27,Soap,32,59
2021-02-27,Shampoo,36,75
2021-02-28,Rice,60,134
2021-02-28,Wheat,52,126
2021-02-28,Sugar,48,111
2021-02-28,Tea,16,33
2021-02-28,Oil,24,70
2021-02-28,Biscuits,82,105
2021-02-28,Soap,29,85
2021-02-28,Shampoo,26,54
2021-03-01,Rice,49,112
2021-03-01,Wheat,46,126
2021-03-01,Sugar,37,61
2021-03-01,Tea,15,36
2021-03-01,Oil,17,43
